career_name,onet_soc_code,onet_title,source_domain,concept_type,external_skill_id,external_skill_name,raw_importance,normalized_importance,importance_scale_minimum,importance_scale_maximum,importance_n,importance_standard_error,importance_lower_ci,importance_upper_ci,importance_recommend_suppress,importance_not_relevant,importance_date,importance_domain_source,raw_level,normalized_level,level_scale_minimum,level_scale_maximum,level_n,level_standard_error,level_lower_ci,level_upper_ci,level_recommend_suppress,level_not_relevant,level_date,level_domain_source,recommend_suppress,not_relevant,score_eligible
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.1.f,Science,1.12,3.00,1,5,8,0.1250,1.0000,1.3700,N,,08/2019,Analyst,0.12,1.71,0,7,8,0.1250,0.0000,0.3700,N,Y,08/2019,Analyst,false,true,false
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.1.f,Science,1.12,3.00,1,5,8,0.1250,1.0000,1.3700,N,,08/2019,Analyst,0.12,1.71,0,7,8,0.1250,0.0000,0.3700,N,Y,08/2019,Analyst,false,true,false
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.2.a,Critical Thinking,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2019,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2019,Analyst,false,false,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.2.a,Critical Thinking,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2019,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2019,Analyst,false,false,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.2.b,Active Learning,3.25,56.25,1,5,8,0.1637,2.9292,3.5708,N,,08/2019,Analyst,3.38,48.29,0,7,8,0.1830,3.0164,3.7336,N,N,08/2019,Analyst,false,false,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.2.b,Active Learning,3.25,56.25,1,5,8,0.1637,2.9292,3.5708,N,,08/2019,Analyst,3.38,48.29,0,7,8,0.1830,3.0164,3.7336,N,N,08/2019,Analyst,false,false,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.2.c,Learning Strategies,3.00,50.00,1,5,8,0.1890,2.6296,3.3704,N,,08/2019,Analyst,3.25,46.43,0,7,8,0.1637,2.9292,3.5708,N,N,08/2019,Analyst,false,false,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.2.c,Learning Strategies,3.00,50.00,1,5,8,0.1890,2.6296,3.3704,N,,08/2019,Analyst,3.25,46.43,0,7,8,0.1637,2.9292,3.5708,N,N,08/2019,Analyst,false,false,true
Human Resources Adviser,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.2.d,Monitoring,3.00,50.00,1,5,8,0.0000,3.0000,3.0000,N,,08/2019,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2019,Analyst,false,false,true
Recruitment Consultant,13-1071.00,Human Resources Specialists,onet_essential_skills,skill,2.A.2.d,Monitoring,3.00,50.00,1,5,8,0.0000,3.0000,3.0000,N,,08/2019,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2019,Analyst,false,false,true
Workplace Relations Adviser,13-1075.00,Labor Relations Specialists,onet_essential_skills,skill,2.A.1.a,Reading Comprehension,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2023,Analyst,4.25,60.71,0,7,8,0.1637,3.9292,4.5708,N,N,08/2023,Analyst,false,false,true
Workplace Relations Adviser,13-1075.00,Labor Relations Specialists,onet_essential_skills,skill,2.A.1.b,Active Listening,4.38,84.50,1,5,8,0.1830,4.0164,4.7336,N,,08/2023,Analyst,4.50,64.29,0,7,8,0.1890,4.1296,4.8704,N,N,08/2023,Analyst,false,false,true
Workplace Relations Adviser,13-1075.00,Labor Relations Specialists,onet_essential_skills,skill,2.A.1.c,Writing,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2023,Analyst,4.50,64.29,0,7,8,0.1890,4.1296,4.8704,N,N,08/2023,Analyst,false,false,true
Workplace Relations Adviser,13-1075.00,Labor Relations Specialists,onet_essential_skills,skill,2.A.1.d,Speaking,4.25,81.25,1,5,8,0.1637,3.9292,4.5708,N,,08/2023,Analyst,4.75,67.86,0,7,8,0.1637,4.4292,5.0708,N,N,08/2023,Analyst,false,false,true
Workplace Relations Adviser,13-1075.00,Labor Relations Specialists,onet_essential_skills,skill,2.A.1.e,Mathematics,2.38,34.50,1,5,8,0.1830,2.0164,2.7336,N,,08/2023,Analyst,2.62,37.43,0,7,8,0.1830,2.2664,2.9836,N,N,08/2023,Analyst,false,false,true
Workplace Relations Adviser,13-1075.00,Labor Relations Specialists,onet_essential_skills,skill,2.A.1.f,Science,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2023,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2023,Analyst,false,true,false
Workplace Relations Adviser,13-1075.00,Labor Relations Specialists,onet_essential_skills,skill,2.A.2.a,Critical Thinking,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2023,Analyst,4.12,58.86,0,7,8,0.1250,3.8800,4.3700,N,N,08/2023,Analyst,false,false,true
Workplace Relations Adviser,13-1075.00,Labor Relations Specialists,onet_essential_skills,skill,2.A.2.b,Active Learning,3.50,62.50,1,5,8,0.1890,3.1296,3.8704,N,,08/2023,Analyst,3.88,55.43,0,7,8,0.2266,3.4309,4.3191,N,N,08/2023,Analyst,false,false,true
Workplace Relations Adviser,13-1075.00,Labor Relations Specialists,onet_essential_skills,skill,2.A.2.c,Learning Strategies,3.00,50.00,1,5,8,0.0000,3.0000,3.0000,N,,08/2023,Analyst,3.12,44.57,0,7,8,0.1250,2.8800,3.3700,N,N,08/2023,Analyst,false,false,true
Workplace Relations Adviser,13-1075.00,Labor Relations Specialists,onet_essential_skills,skill,2.A.2.d,Monitoring,3.38,59.50,1,5,8,0.1830,3.0164,3.7336,N,,08/2023,Analyst,3.88,55.43,0,7,8,0.2266,3.4309,4.3191,N,N,08/2023,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_essential_skills,skill,2.A.1.a,Reading Comprehension,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2020,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_essential_skills,skill,2.A.1.b,Active Listening,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2020,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_essential_skills,skill,2.A.1.c,Writing,3.38,59.50,1,5,8,0.1830,3.0164,3.7336,N,,08/2020,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_essential_skills,skill,2.A.1.d,Speaking,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2020,Analyst,3.38,48.29,0,7,8,0.1830,3.0164,3.7336,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_essential_skills,skill,2.A.1.e,Mathematics,3.00,50.00,1,5,8,0.1890,2.6296,3.3704,N,,08/2020,Analyst,3.75,53.57,0,7,8,0.2500,3.2600,4.2400,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_essential_skills,skill,2.A.1.f,Science,1.75,18.75,1,5,8,0.1637,1.4292,2.0708,N,,08/2020,Analyst,0.75,10.71,0,7,8,0.1637,0.4292,1.0708,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_essential_skills,skill,2.A.2.a,Critical Thinking,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2020,Analyst,4.12,58.86,0,7,8,0.1250,3.8800,4.3700,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_essential_skills,skill,2.A.2.b,Active Learning,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2020,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_essential_skills,skill,2.A.2.c,Learning Strategies,2.75,43.75,1,5,8,0.1637,2.4292,3.0708,N,,08/2020,Analyst,3.00,42.86,0,7,8,0.0000,3.0000,3.0000,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_essential_skills,skill,2.A.2.d,Monitoring,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2020,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2020,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_essential_skills,skill,2.A.1.a,Reading Comprehension,4.12,78.00,1,5,8,0.1250,3.8800,4.3700,N,,08/2022,Analyst,4.12,58.86,0,7,8,0.1250,3.8800,4.3700,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_essential_skills,skill,2.A.1.b,Active Listening,4.12,78.00,1,5,8,0.1250,3.8800,4.3700,N,,08/2022,Analyst,4.12,58.86,0,7,8,0.1250,3.8800,4.3700,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_essential_skills,skill,2.A.1.c,Writing,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2022,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_essential_skills,skill,2.A.1.d,Speaking,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2022,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_essential_skills,skill,2.A.1.e,Mathematics,3.00,50.00,1,5,8,0.0000,3.0000,3.0000,N,,08/2022,Analyst,3.25,46.43,0,7,8,0.1637,2.9292,3.5708,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_essential_skills,skill,2.A.1.f,Science,1.88,22.00,1,5,8,0.1250,1.6300,2.1200,N,,08/2022,Analyst,1.75,25.00,0,7,8,0.2500,1.2600,2.2400,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_essential_skills,skill,2.A.2.a,Critical Thinking,4.12,78.00,1,5,8,0.1250,3.8800,4.3700,N,,08/2022,Analyst,4.12,58.86,0,7,8,0.1250,3.8800,4.3700,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_essential_skills,skill,2.A.2.b,Active Learning,3.25,56.25,1,5,8,0.1637,2.9292,3.5708,N,,08/2022,Analyst,3.88,55.43,0,7,8,0.1250,3.6300,4.1200,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_essential_skills,skill,2.A.2.c,Learning Strategies,3.00,50.00,1,5,8,0.0000,3.0000,3.0000,N,,08/2022,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_essential_skills,skill,2.A.2.d,Monitoring,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2022,Analyst,4.12,58.86,0,7,8,0.1250,3.8800,4.3700,N,N,08/2022,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.a,Reading Comprehension,4.00,75.00,1,5,8,0.1890,3.6296,4.3704,N,,08/2026,Analyst,4.75,67.86,0,7,8,0.1637,4.4292,5.0708,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.a,Reading Comprehension,4.00,75.00,1,5,8,0.1890,3.6296,4.3704,N,,08/2026,Analyst,4.75,67.86,0,7,8,0.1637,4.4292,5.0708,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.a,Reading Comprehension,4.00,75.00,1,5,8,0.1890,3.6296,4.3704,N,,08/2026,Analyst,4.75,67.86,0,7,8,0.1637,4.4292,5.0708,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.b,Active Listening,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2026,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.b,Active Listening,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2026,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.b,Active Listening,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2026,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.c,Writing,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2026,Analyst,4.12,58.86,0,7,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.c,Writing,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2026,Analyst,4.12,58.86,0,7,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.c,Writing,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2026,Analyst,4.12,58.86,0,7,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.d,Speaking,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2026,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.d,Speaking,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2026,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.d,Speaking,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2026,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.e,Mathematics,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2026,Analyst,3.12,44.57,0,7,8,0.1250,2.8800,3.3700,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.e,Mathematics,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2026,Analyst,3.12,44.57,0,7,8,0.1250,2.8800,3.3700,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.e,Mathematics,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2026,Analyst,3.12,44.57,0,7,8,0.1250,2.8800,3.3700,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.f,Science,2.00,25.00,1,5,8,0.0000,2.0000,2.0000,N,,08/2026,Analyst,2.00,28.57,0,7,8,0.0000,2.0000,2.0000,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.f,Science,2.00,25.00,1,5,8,0.0000,2.0000,2.0000,N,,08/2026,Analyst,2.00,28.57,0,7,8,0.0000,2.0000,2.0000,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.1.f,Science,2.00,25.00,1,5,8,0.0000,2.0000,2.0000,N,,08/2026,Analyst,2.00,28.57,0,7,8,0.0000,2.0000,2.0000,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.2.a,Critical Thinking,4.00,75.00,1,5,8,0.1890,3.6296,4.3704,N,,08/2026,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.2.a,Critical Thinking,4.00,75.00,1,5,8,0.1890,3.6296,4.3704,N,,08/2026,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.2.a,Critical Thinking,4.00,75.00,1,5,8,0.1890,3.6296,4.3704,N,,08/2026,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.2.b,Active Learning,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2026,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.2.b,Active Learning,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2026,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.2.b,Active Learning,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2026,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.2.c,Learning Strategies,2.88,47.00,1,5,8,0.1250,2.6300,3.1200,N,,08/2026,Analyst,3.00,42.86,0,7,8,0.0000,3.0000,3.0000,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.2.c,Learning Strategies,2.88,47.00,1,5,8,0.1250,2.6300,3.1200,N,,08/2026,Analyst,3.00,42.86,0,7,8,0.0000,3.0000,3.0000,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.2.c,Learning Strategies,2.88,47.00,1,5,8,0.1250,2.6300,3.1200,N,,08/2026,Analyst,3.00,42.86,0,7,8,0.0000,3.0000,3.0000,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.2.d,Monitoring,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2026,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.2.d,Monitoring,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2026,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_essential_skills,skill,2.A.2.d,Monitoring,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2026,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2026,Analyst,false,false,true
Digital Marketing Analyst,13-1161.01,Search Marketing Strategists,onet_essential_skills,skill,2.A.1.a,Reading Comprehension,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2021,Analyst,4.12,58.86,0,7,8,0.1250,3.8800,4.3700,N,N,08/2021,Analyst,false,false,true
Digital Marketing Analyst,13-1161.01,Search Marketing Strategists,onet_essential_skills,skill,2.A.1.b,Active Listening,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2021,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2021,Analyst,false,false,true
Digital Marketing Analyst,13-1161.01,Search Marketing Strategists,onet_essential_skills,skill,2.A.1.c,Writing,3.50,62.50,1,5,8,0.1890,3.1296,3.8704,N,,08/2021,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2021,Analyst,false,false,true
Digital Marketing Analyst,13-1161.01,Search Marketing Strategists,onet_essential_skills,skill,2.A.1.d,Speaking,3.62,65.50,1,5,8,0.1830,3.2664,3.9836,N,,08/2021,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2021,Analyst,false,false,true
Digital Marketing Analyst,13-1161.01,Search Marketing Strategists,onet_essential_skills,skill,2.A.1.e,Mathematics,2.75,43.75,1,5,8,0.1637,2.4292,3.0708,N,,08/2021,Analyst,2.88,41.14,0,7,8,0.2266,2.4309,3.3191,N,N,08/2021,Analyst,false,false,true
Digital Marketing Analyst,13-1161.01,Search Marketing Strategists,onet_essential_skills,skill,2.A.1.f,Science,1.25,6.25,1,5,8,0.1637,1.0000,1.5708,N,,08/2021,Analyst,0.25,3.57,0,7,8,0.1637,0.0000,0.5708,N,Y,08/2021,Analyst,false,true,false
Digital Marketing Analyst,13-1161.01,Search Marketing Strategists,onet_essential_skills,skill,2.A.2.a,Critical Thinking,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2021,Analyst,3.88,55.43,0,7,8,0.1250,3.6300,4.1200,N,N,08/2021,Analyst,false,false,true
Digital Marketing Analyst,13-1161.01,Search Marketing Strategists,onet_essential_skills,skill,2.A.2.b,Active Learning,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2021,Analyst,3.88,55.43,0,7,8,0.2266,3.4309,4.3191,N,N,08/2021,Analyst,false,false,true
Digital Marketing Analyst,13-1161.01,Search Marketing Strategists,onet_essential_skills,skill,2.A.2.c,Learning Strategies,2.88,47.00,1,5,8,0.1250,2.6300,3.1200,N,,08/2021,Analyst,3.00,42.86,0,7,8,0.0000,3.0000,3.0000,N,N,08/2021,Analyst,false,false,true
Digital Marketing Analyst,13-1161.01,Search Marketing Strategists,onet_essential_skills,skill,2.A.2.d,Monitoring,3.38,59.50,1,5,8,0.1830,3.0164,3.7336,N,,08/2021,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2021,Analyst,false,false,true
Accountant (General),13-2011.00,Accountants and Auditors,onet_essential_skills,skill,2.A.1.a,Reading Comprehension,3.88,72.00,1,5,8,0.2266,3.4309,4.3191,N,,08/2026,Analyst,3.88,55.43,0,7,8,0.1250,3.6300,4.1200,N,N,08/2026,Analyst,false,false,true
Management Accountant,13-2011.00,Accountants and Auditors,onet_essential_skills,skill,2.A.1.a,Reading Comprehension,3.88,72.00,1,5,8,0.2266,3.4309,4.3191,N,,08/2026,Analyst,3.88,55.43,0,7,8,0.1250,3.6300,4.1200,N,N,08/2026,Analyst,false,false,true
